timestamp,cam,cam_frame,class,confidence,count_this_frame
2026-05-20 20:17:21,cam-d,1,toothbrush,73.875,1
2026-05-20 20:17:21,cam-d,1,cell phone,60.094,1
2026-05-20 20:17:21,cam-d,1,keyboard,61.812,1
2026-05-20 20:17:21,cam-d,1,couch,47.562,1
2026-05-20 20:17:21,cam-d,1,orange,38.750,2
2026-05-20 20:17:21,cam-d,1,bowl,34.312,1
2026-05-20 20:17:21,cam-d,1,traffic light,6.016,1
2026-05-20 20:17:21,cam-d,1,truck,5.578,1
2026-05-20 20:17:21,cam-b,2,hair drier,71.312,1
2026-05-20 20:17:21,cam-b,2,cell phone,60.062,1
2026-05-20 20:17:21,cam-b,2,remote,60.688,1
2026-05-20 20:17:21,cam-b,2,couch,47.500,1
2026-05-20 20:17:21,cam-b,2,carrot,35.188,1
2026-05-20 20:17:21,cam-b,2,orange,38.750,1
2026-05-20 20:17:21,cam-b,2,spoon,34.000,1
2026-05-20 20:17:21,cam-b,2,traffic light,5.930,1
2026-05-20 20:17:21,cam-b,2,truck,5.699,1
2026-05-20 20:17:21,cam-b,3,toothbrush,71.375,1
2026-05-20 20:17:21,cam-b,3,cell phone,59.844,1
2026-05-20 20:17:21,cam-b,3,remote,60.375,1
2026-05-20 20:17:21,cam-b,3,couch,47.375,1
2026-05-20 20:17:21,cam-b,3,broccoli,35.000,1
2026-05-20 20:17:21,cam-b,3,orange,39.281,1
2026-05-20 20:17:21,cam-b,3,bowl,34.375,1
2026-05-20 20:17:21,cam-b,3,traffic light,6.098,1
2026-05-20 20:17:21,cam-b,3,truck,5.684,1
2026-05-20 20:17:22,cam-b,4,toothbrush,71.875,1
2026-05-20 20:17:22,cam-b,4,cell phone,60.188,1
2026-05-20 20:17:22,cam-b,4,keyboard,61.000,1
2026-05-20 20:17:22,cam-b,4,couch,47.344,1
2026-05-20 20:17:22,cam-b,4,carrot,35.062,1
2026-05-20 20:17:22,cam-b,4,sandwich,39.188,1
2026-05-20 20:17:22,cam-b,4,spoon,34.031,1
2026-05-20 20:17:22,cam-b,4,traffic light,6.016,1
2026-05-20 20:17:22,cam-b,4,truck,5.645,1
2026-05-20 20:17:22,cam-a,1,hair drier,65.438,1
2026-05-20 20:17:22,cam-a,1,sink,70.625,1
2026-05-20 20:17:22,cam-a,1,microwave,44.344,1
2026-05-20 20:17:22,cam-a,1,hot dog,46.938,1
2026-05-20 20:17:22,cam-a,1,apple,45.344,1
2026-05-20 20:17:22,cam-a,1,bowl,39.938,1
2026-05-20 20:17:22,cam-a,1,cup,39.250,1
2026-05-20 20:17:22,cam-a,1,traffic light,3.568,1
2026-05-20 20:17:22,cam-a,1,train,5.129,1
2026-05-20 20:17:22,cam-b,6,toothbrush,74.625,1
2026-05-20 20:17:22,cam-b,6,cell phone,59.875,1
2026-05-20 20:17:22,cam-b,6,remote,60.844,1
2026-05-20 20:17:22,cam-b,6,couch,47.500,1
2026-05-20 20:17:22,cam-b,6,broccoli,34.875,1
2026-05-20 20:17:22,cam-b,6,orange,39.188,1
2026-05-20 20:17:22,cam-b,6,spoon,34.344,1
2026-05-20 20:17:22,cam-b,6,traffic light,6.113,1
2026-05-20 20:17:22,cam-b,6,truck,5.516,1
2026-05-20 20:17:22,cam-b,7,toothbrush,76.188,1
2026-05-20 20:17:22,cam-b,7,microwave,59.719,1
2026-05-20 20:17:22,cam-b,7,keyboard,63.250,1
2026-05-20 20:17:22,cam-b,7,couch,47.531,1
2026-05-20 20:17:22,cam-b,7,orange,39.875,1
2026-05-20 20:17:22,cam-b,7,sandwich,34.531,1
2026-05-20 20:17:22,cam-b,7,bowl,34.812,1
2026-05-20 20:17:22,cam-b,7,traffic light,6.027,1
2026-05-20 20:17:22,cam-b,7,truck,5.574,1
2026-05-20 20:17:22,cam-b,8,toothbrush,76.375,1
2026-05-20 20:17:22,cam-b,8,microwave,59.781,1
2026-05-20 20:17:22,cam-b,8,cell phone,64.250,1
2026-05-20 20:17:22,cam-b,8,couch,47.625,1
2026-05-20 20:17:22,cam-b,8,orange,39.562,2
2026-05-20 20:17:22,cam-b,8,bowl,34.312,1
2026-05-20 20:17:22,cam-b,8,traffic light,6.000,1
2026-05-20 20:17:22,cam-b,8,truck,5.543,1
2026-05-20 20:17:22,cam-d,9,toothbrush,75.000,1
2026-05-20 20:17:22,cam-d,9,cell phone,59.812,1
2026-05-20 20:17:22,cam-d,9,keyboard,62.000,1
2026-05-20 20:17:22,cam-d,9,couch,47.438,1
2026-05-20 20:17:22,cam-d,9,broccoli,34.688,1
