timestamp,cam,cam_frame,class,confidence,count_this_frame
2026-05-21 10:52:18,cam-b,1,car,0.827,4
2026-05-21 10:52:18,cam-b,1,person,0.254,1
2026-05-21 10:52:18,cam-d,1,car,0.827,4
2026-05-21 10:52:18,cam-d,1,person,0.254,1
2026-05-21 10:52:18,cam-d,2,car,0.768,4
2026-05-21 10:52:18,cam-d,2,person,0.288,1
2026-05-21 10:52:18,cam-b,2,car,0.768,4
2026-05-21 10:52:18,cam-b,2,person,0.288,1
2026-05-21 10:52:18,cam-d,3,car,0.766,3
2026-05-21 10:52:18,cam-b,3,car,0.766,3
2026-05-21 10:52:18,cam-d,4,car,0.723,5
2026-05-21 10:52:18,cam-b,4,car,0.723,5
2026-05-21 10:52:19,cam-e,1,car,0.701,4
2026-05-21 10:52:19,cam-a,1,car,0.885,4
2026-05-21 10:52:19,cam-d,5,car,0.574,7
2026-05-21 10:52:19,cam-d,5,person,0.252,1
2026-05-21 10:52:19,cam-b,5,car,0.574,7
2026-05-21 10:52:19,cam-b,5,person,0.252,1
2026-05-21 10:52:19,cam-d,6,car,0.591,4
2026-05-21 10:52:19,cam-d,6,umbrella,0.451,1
2026-05-21 10:52:19,cam-b,6,car,0.591,4
2026-05-21 10:52:19,cam-b,6,umbrella,0.451,1
2026-05-21 10:52:19,cam-e,2,car,0.587,4
2026-05-21 10:52:19,cam-e,2,truck,0.269,1
2026-05-21 10:52:19,cam-a,2,car,0.710,4
2026-05-21 10:52:19,cam-d,7,car,0.613,4
2026-05-21 10:52:19,cam-d,7,umbrella,0.288,1
2026-05-21 10:52:19,cam-b,7,car,0.613,4
2026-05-21 10:52:19,cam-b,7,umbrella,0.288,1
2026-05-21 10:52:19,cam-e,3,car,0.555,4
2026-05-21 10:52:19,cam-e,3,truck,0.306,1
2026-05-21 10:52:19,cam-a,3,car,0.845,4
2026-05-21 10:52:19,cam-e,4,car,0.609,4
2026-05-21 10:52:19,cam-e,4,truck,0.251,1
2026-05-21 10:52:19,cam-a,4,car,0.892,4
2026-05-21 10:52:19,cam-d,8,car,0.742,3
2026-05-21 10:52:19,cam-d,8,umbrella,0.324,1
2026-05-21 10:52:19,cam-d,8,person,0.260,1
2026-05-21 10:52:19,cam-b,8,car,0.742,3
2026-05-21 10:52:19,cam-b,8,umbrella,0.324,1
2026-05-21 10:52:19,cam-b,8,person,0.260,1
2026-05-21 10:52:20,cam-a,5,car,0.826,4
2026-05-21 10:52:20,cam-e,5,car,0.794,4
2026-05-21 10:52:20,cam-b,9,car,0.748,2
2026-05-21 10:52:20,cam-b,9,umbrella,0.394,1
2026-05-21 10:52:20,cam-d,9,car,0.748,2
2026-05-21 10:52:20,cam-d,9,umbrella,0.394,1
2026-05-21 10:52:20,cam-e,6,car,0.812,4
2026-05-21 10:52:20,cam-d,10,umbrella,0.649,1
2026-05-21 10:52:20,cam-d,10,car,0.613,2
2026-05-21 10:52:20,cam-d,10,person,0.347,1
2026-05-21 10:52:20,cam-b,10,umbrella,0.649,1
2026-05-21 10:52:20,cam-b,10,car,0.613,2
2026-05-21 10:52:20,cam-b,10,person,0.347,1
2026-05-21 10:52:20,cam-a,6,car,0.779,4
2026-05-21 10:52:20,cam-d,11,car,0.576,1
2026-05-21 10:52:20,cam-d,11,umbrella,0.545,1
2026-05-21 10:52:20,cam-d,11,person,0.314,1
2026-05-21 10:52:20,cam-a,7,car,0.817,4
2026-05-21 10:52:20,cam-b,11,car,0.576,1
2026-05-21 10:52:20,cam-b,11,umbrella,0.545,1
2026-05-21 10:52:20,cam-b,11,person,0.314,1
2026-05-21 10:52:20,cam-e,7,car,0.890,3
2026-05-21 10:52:20,cam-e,8,car,0.873,4
2026-05-21 10:52:20,cam-d,12,car,0.698,1
2026-05-21 10:52:20,cam-d,12,umbrella,0.572,1
2026-05-21 10:52:20,cam-d,12,person,0.271,1
