frame=0 infer_ms=1626.6 objects=11 ram_used_mb=2806 ram_percent=70.8 ram_available_mb=1157
frame=60 infer_ms=102.8 objects=11 ram_used_mb=2826 ram_percent=71.3 ram_available_mb=1137
frame=120 infer_ms=105.3 objects=12 ram_used_mb=2827 ram_percent=71.3 ram_available_mb=1137
frame=180 infer_ms=107.5 objects=10 ram_used_mb=2830 ram_percent=71.4 ram_available_mb=1133
frame=240 infer_ms=104.2 objects=14 ram_used_mb=2830 ram_percent=71.4 ram_available_mb=1134
frame=300 infer_ms=104.4 objects=10 ram_used_mb=2830 ram_percent=71.4 ram_available_mb=1133
frame=360 infer_ms=103.4 objects=11 ram_used_mb=2829 ram_percent=71.4 ram_available_mb=1134
frame=420 infer_ms=103.3 objects=13 ram_used_mb=2830 ram_percent=71.4 ram_available_mb=1134
frame=480 infer_ms=103.2 objects=11 ram_used_mb=2830 ram_percent=71.4 ram_available_mb=1134
frame=540 infer_ms=104.0 objects=13 ram_used_mb=2830 ram_percent=71.4 ram_available_mb=1133
frame=600 infer_ms=102.7 objects=12 ram_used_mb=2830 ram_percent=71.4 ram_available_mb=1133
frame=660 infer_ms=104.9 objects=13 ram_used_mb=2830 ram_percent=71.4 ram_available_mb=1133
frame=720 infer_ms=108.4 objects=10 ram_used_mb=2831 ram_percent=71.4 ram_available_mb=1132
frame=780 infer_ms=104.9 objects=11 ram_used_mb=2828 ram_percent=71.4 ram_available_mb=1135
frame=840 infer_ms=103.7 objects=10 ram_used_mb=2828 ram_percent=71.4 ram_available_mb=1135
frame=900 infer_ms=103.7 objects=9 ram_used_mb=2830 ram_percent=71.4 ram_available_mb=1133
frame=960 infer_ms=103.4 objects=8 ram_used_mb=2827 ram_percent=71.3 ram_available_mb=1137
frame=1020 infer_ms=104.4 objects=10 ram_used_mb=2827 ram_percent=71.3 ram_available_mb=1136
frame=1080 infer_ms=105.3 objects=10 ram_used_mb=2827 ram_percent=71.3 ram_available_mb=1136
frame=1140 infer_ms=109.0 objects=10 ram_used_mb=2828 ram_percent=71.3 ram_available_mb=1136
frame=1200 infer_ms=105.0 objects=12 ram_used_mb=2828 ram_percent=71.4 ram_available_mb=1135
